Potential biomarker;Semantic types;Connected to number of subgraph concepts;Weight points
pexiganan acetate;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
leadzyme;Nucleic Acid, Nucleoside, or Nucleotide;1;0
Hepatitis G virus ribonucleic acid;Nucleic Acid, Nucleoside, or Nucleotide;1;0
Foot and mouth disease virus Antibody;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
Rift valley fever virus Antibody;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
CLIK148;Organic Chemicals;1;0
hexocalex;Pharmacologic Substance, Inorganic Chemical;1;0
mannose permease;Amino Acid, Peptide, or Protein, Enzyme;1;0
(2,2-bis(docosyloxymethyl)propyl-5-acetamido-3,5-dideoxy-4,7,8,9-tetra-O-(sodium oxysulfonyl)glycero-alpha-galacto-2-nonulopyranosid)onate;Lipid, Pharmacologic Substance;1;0
OF-1 protein;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
capsianoside G;Carbohydrate, Lipid;1;0
botrydial;Organic Chemicals, Biologically Active Substance;1;0
fattiviracin FV-8;Carbohydrate, Lipid, Pharmacologic Substance;1;0
Liver kidney microsomal 1 Antibody;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
cyazofamid;Organic Chemicals;1;0
TT virus deoxyribonucleic acid;Nucleic Acid, Nucleoside, or Nucleotide;1;0
albuferon;Amino Acid, Peptide, or Protein;1;0
Human herpesvirus 8 antibody;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
Mycobacterium avium subspecies avium;Immunologic Factor;1;0
Phoma sp;Immunologic Factor;1;0
Polio virus 1(antigen);Immunologic Factor;1;0
Streptococcus pneumoniae 9;Immunologic Factor;1;0
glycoprotein D, Feline herpesvirus 1;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
lamellarin alpha;Organic Chemicals, Biologically Active Substance;1;0
UL130 protein, human cytomegalovirus;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
APOBEC3 protein, human;Amino Acid, Peptide, or Protein, Enzyme;1;0
Leptospira species antibody;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
Cilastatin Sodium;Lipid, Pharmacologic Substance;1;0
dextrin 2-sulfate;Carbohydrate, Pharmacologic Substance;1;0
terdecamycin;Organic Chemicals;1;0
DP 178;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
Glycobiarsol;Carbohydrate, Pharmacologic Substance;1;0
Swine influenza virus vaccine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;1;0
Phage Receptors;Amino Acid, Peptide, or Protein, Receptor;1;0
Bluetongue vaccine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;1;0
Canine coronavirus vaccine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;1;0
Polyomavirus Small T Antigens;Immunologic Factor;1;0
Sisomicin Sulfate;Carbohydrate, Pharmacologic Substance;1;0
Corynebacterium parvum vaccine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;1;0
HEPATITIS B VIRUS CORE ANTIBODY.IMMUNOGLOBULIN M;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
Interferon alpha-5;Amino Acid, Peptide, or Protein;1;0
amylovoran;Carbohydrate;1;0
Giardia antibody;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
bifikol;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
chaulmoogric acid;Lipid;1;0
dextranomer;Carbohydrate, Pharmacologic Substance;1;0
Epigard;Organic Chemicals;1;0
Liver cytosol antibody;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
N-carboxymethylchitosan-N-O-sulfate;Carbohydrate, Pharmacologic Substance;1;0
ochratoxin C;Organic Chemicals;1;0
maleylated serum albumin, human;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
antigen 12D3;Immunologic Factor;1;0
dengue virus receptor;Amino Acid, Peptide, or Protein, Receptor;1;0
glycoprotein I, Equine herpesvirus 4;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
protegentin;Organic Chemicals, Pharmacologic Substance, Enzyme;1;0
sedecamycin;Organic Chemicals;1;0
Vitamin E Complex;Organic Chemicals, Pharmacologic Substance, Vitamin;1;0
statolon;Carbohydrate, Pharmacologic Substance;1;0
Elongation Factor 1beta;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
rab4A GTP-Binding Protein;Amino Acid, Peptide, or Protein, Enzyme;1;0
rab5A GTP-Binding Protein;Amino Acid, Peptide, or Protein, Enzyme;1;0
OPA1 protein, Oncorhynchus masou;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
TBRLP protein, Trypanosoma brucei;Amino Acid, Peptide, or Protein, Enzyme;1;0
ATDRG1 protein, Arabidopsis;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
MOD-D protein, Podospora anserina;Amino Acid, Peptide, or Protein, Enzyme;1;0
XLG1 protein, Arabidopsis;Amino Acid, Peptide, or Protein, Enzyme;1;0
Ypt10 protein, S cerevisiae;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
VPS1 protein, S cerevisiae;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
NUBP2 protein, mouse;Amino Acid, Peptide, or Protein, Enzyme;1;0
Nubp1 protein, mouse;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
TBL2 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Alp41 protein, S pombe;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
TutH protein, Thauera aromatic;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
DRG2 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
GNG2 protein, human;Amino Acid, Peptide, or Protein;1;0
G-protein gamma(14);Amino Acid, Peptide, or Protein;1;0
era protein, E coli;Amino Acid, Peptide, or Protein, Enzyme;1;0
GNAL protein, human;Amino Acid, Peptide, or Protein, Enzyme;1;0
TRME protein, Thermotoga maritima;Amino Acid, Peptide, or Protein;1;0
WDR4 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Thn1 protein, Schizophyllum commune;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Agtpbp1 protein, mouse;Amino Acid, Peptide, or Protein, Enzyme;1;0
PGP1 protein, Carica papaya;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
NOG1 protein, Trypanosoma brucei;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
wdlA protein, Streptomyces lincolnensis;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Bms1 protein, S cerevisiae;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Gbp2 protein, mouse;Amino Acid, Peptide, or Protein, Enzyme;1;0
evl-20 protein, C elegans;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
RHD3 protein, Arabidopsis;Amino Acid, Peptide, or Protein, Enzyme;1;0
RHOV protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
GTPBP4 protein, human;Amino Acid, Peptide, or Protein, Enzyme;1;0
Gtpbp3 protein, mouse;Amino Acid, Peptide, or Protein, Enzyme;1;0
Gtpbp4 protein, rat;Amino Acid, Peptide, or Protein, Enzyme;1;0
phosphoinositidase C beta;Amino Acid, Peptide, or Protein, Enzyme;1;0
GNL3 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
ROP10 protein, Arabidopsis;Amino Acid, Peptide, or Protein, Enzyme;1;0
Mpa2 protein, mouse;Amino Acid, Peptide, or Protein, Enzyme;1;0
Gbp5 protein, mouse;Amino Acid, Peptide, or Protein, Enzyme;1;0
GPN1 protein, human;Amino Acid, Peptide, or Protein, Enzyme;1;0
HBS1 protein, S cerevisiae;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Cdc42 protein, C elegans;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
ebi protein, Drosophila;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
DRL1 protein, Arabidopsis;Amino Acid, Peptide, or Protein;1;0
o-rab3 protein, Torpedo marmorata;Amino Acid, Peptide, or Protein, Enzyme;1;0
fusB protein, Synechocystis;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
UNC-61 protein, C elegans;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
UNC-59 protein, C elegans;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
GIMAP1 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
LSG1 protein, S cerevisiae;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
YRDC protein, human;Amino Acid, Peptide, or Protein, Enzyme;1;0
Rim1 protein, rat;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
RIMS1 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Rims2 protein, mouse;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Rims1 protein, mouse;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Trim23 protein, rat;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
TRIM23 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Ian4 protein, mouse;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
SRPRB protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
GBP3 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
rab11 binding protein, Bos taurus;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Rasd2 protein, rat;Amino Acid, Peptide, or Protein, Enzyme;1;0
RASD2 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Drg2 protein, Xenopus;Amino Acid, Peptide, or Protein;1;0
rab11 binding protein, rat;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Ian3 protein, mouse;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
GIMAP4 protein, human;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
Arl2 protein, mouse;Amino Acid, Peptide, or Protein, Enzyme;1;0
Arl2 protein, rat;Amino Acid, Peptide, or Protein, Enzyme;1;0
Obg GTP-binding protein, Bacteria;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
SGP protein protein, Streptococcus mutans;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
HET-E1 protein, Podospora anserina;Amino Acid, Peptide, or Protein, Enzyme;1;0
Ian1 protein, mouse;Amino Acid, Peptide, or Protein, Enzyme, Immunologic Factor;1;0
ARL2 protein, human;Amino Acid, Peptide, or Protein, Enzyme;1;0
GNB2L1 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
ATL1 protein, human;Amino Acid, Peptide, or Protein, Enzyme;1;0
HypB protein, bacteria;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Cdc42 protein, Drosophila;Amino Acid, Peptide, or Protein, Enzyme;1;0
NOG1 protein, S cerevisiae;Amino Acid, Peptide, or Protein, Enzyme;1;0
SPAG1 protein, human;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
GIMAP5 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
YihA protein, E coli;Amino Acid, Peptide, or Protein, Enzyme;1;0
BODIPY FL GTPgammaS;Organic Chemicals;1;0
EXOC6B protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
HypB protein, E coli;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Gbp1 protein, mouse;Amino Acid, Peptide, or Protein, Enzyme;1;0
Rasd2 protein, mouse;Amino Acid, Peptide, or Protein, Enzyme;1;0
G protein competitive inhibitory polypeptide, rat;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
myosin I heavy chain kinase;Amino Acid, Peptide, or Protein, Enzyme;1;0
Toc90 protein, Arabidopsis;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
developmentally regulated GTP-binding protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
oleosin protein, Brassica napus;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
CDC15 protein;Amino Acid, Peptide, or Protein, Enzyme;1;0
Rim protein, mammalian;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
OpgG protein, E coli;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
MGM1 protein, S cerevisiae;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Gimap5 protein, rat;Amino Acid, Peptide, or Protein, Enzyme;1;0
RHOBTB2 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
UFP-102;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
GTPBP3 protein, human;Amino Acid, Peptide, or Protein, Enzyme;1;0
ROP2 protein, Arabidopsis;Amino Acid, Peptide, or Protein, Enzyme;1;0
Spn1 protein, S pombe;Amino Acid, Peptide, or Protein, Enzyme;1;0
Spn2 protein, S pombe;Amino Acid, Peptide, or Protein, Enzyme;1;0
Spn3 protein, S pombe;Amino Acid, Peptide, or Protein, Enzyme;1;0
Spn4 protein, S pombe;Amino Acid, Peptide, or Protein, Enzyme;1;0
ROP1 protein, Arabidopsis;Amino Acid, Peptide, or Protein, Enzyme;1;0
cex-2 protein, C elegans;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
DRP1 protein, Drosophila;Amino Acid, Peptide, or Protein, Enzyme;1;0
RHO4 protein, S pombe;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
hypersensitive response-assisting protein, Arabidopsis;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
SAR protein, human;Amino Acid, Peptide, or Protein, Enzyme;1;0
GNL3L protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Rop4 protein, Arabidopsis;Amino Acid, Peptide, or Protein, Enzyme;1;0
Atl1 protein, rat;Amino Acid, Peptide, or Protein, Enzyme;1;0
GIMAP7 protein, human;Amino Acid, Peptide, or Protein, Enzyme;1;0
IRGM protein, human;Amino Acid, Peptide, or Protein, Enzyme;1;0
Der protein, E coli;Amino Acid, Peptide, or Protein, Enzyme;1;0
Gbp2 protein, rat;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
XGB protein, Xenopus;Amino Acid, Peptide, or Protein, Enzyme;1;0
GNL3L protein, mouse;Amino Acid, Peptide, or Protein;1;0
Gimap4 protein, rat;Amino Acid, Peptide, or Protein, Enzyme;1;0
Gbp6 protein, mouse;Amino Acid, Peptide, or Protein, Enzyme;1;0
Gbp8 protein, mouse;Amino Acid, Peptide, or Protein, Enzyme;1;0
SRP54A protein, Arabidopsis;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Srp54-2 protein, Arabidopsis;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Srp54-3 protein, Arabidopsis;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Rab6 protein;Amino Acid, Peptide, or Protein, Enzyme;1;0
Ghalpha protein, rat;Amino Acid, Peptide, or Protein, Enzyme;1;0
GBP5 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
mAtNOS1 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
GBP2 protein, human;Amino Acid, Peptide, or Protein, Enzyme;1;0
Gbp45 protein, human;Amino Acid, Peptide, or Protein, Enzyme;1;0
HflX protein, E coli;Amino Acid, Peptide, or Protein, Enzyme;1;0
DRP2B protein, Arabidopsis;Amino Acid, Peptide, or Protein, Enzyme;1;0
Era protein, mouse;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
GNL1 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
EngA protein, E coli;Amino Acid, Peptide, or Protein, Enzyme;1;0
Gng2 protein, rat;Amino Acid, Peptide, or Protein, Enzyme;1;0
Ifi1 protein, mouse;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
G protein, viral hemorrhagic septicemia virus;Amino Acid, Peptide, or Protein;1;0
BUD4 protein, S cerevisiae;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
nucleostemin 1, Drosophila;Amino Acid, Peptide, or Protein, Enzyme;1;0
RACK1 protein, rat;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
BPG2 protein, Arabidopsis;Amino Acid, Peptide, or Protein, Enzyme;1;0
ERAL1 protein, human;Amino Acid, Peptide, or Protein, Enzyme;1;0
Rab3-interacting molecule 1, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
ARF72A protein, Drosophila protein;Amino Acid, Peptide, or Protein, Enzyme;1;0
nucleostemin 2 protein, Drosophila;Amino Acid, Peptide, or Protein, Enzyme;1;0
FADA protein, Emericella nidulans;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
IFI47 protein, mouse;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
NGP-1 antigen;Amino Acid, Peptide, or Protein;1;0
Tet(T) protein, Streptococcus pyogenes;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
cysteinylcysteine;Amino Acid, Peptide, or Protein;1;0
protein acyltransferase;Amino Acid, Peptide, or Protein, Enzyme;1;0
ninhibin;Amino Acid, Peptide, or Protein, Enzyme;1;0
CAG1 protein, Candida albicans;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
MSS1 protein, S cerevisiae;Amino Acid, Peptide, or Protein, Enzyme;1;0
rab1 protein, Lymnaea stagnalis;Amino Acid, Peptide, or Protein, Enzyme;1;0
RABAC1 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
mystixin 7;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
SGG protein, Streptococcus;Amino Acid, Peptide, or Protein;1;0
GTPBP6 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
ASC1 protein, S cerevisiae;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
lgp1 protein, Leishmania braziliensis;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
lgp2 protein, Leishmania braziliensis;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
SPNA protein, Dictyostelium discoideum;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
myxovirus resistance proteins;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
cularine;Organic Chemicals;1;0
cyclic ADP-ribose receptor;Amino Acid, Peptide, or Protein, Receptor;1;0
Creosote;Organic Chemicals;1;0
GE 410;Amino Acid, Peptide, or Protein;1;0
uncarine C;Organic Chemicals, Biologically Active Substance;1;0
S 32504;Organic Chemicals;1;0
cyclotriveratrylene;Organic Chemicals;1;0
pergolide sulfoxide;Organic Chemicals;1;0
Cy3-3-acylcholine;Organic Chemicals;1;0
acetylpyrrolidinecholine;Organic Chemicals;1;0
isoarecolone methiodide;Organic Chemicals;1;0
lophotoxin;Organic Chemicals;1;0
2-acetoxy-1-dimethylaminoethanol;Organic Chemicals;1;0
acetylselenocholine;Organic Chemicals;1;0
damascenine;Organic Chemicals;1;0
3,3-dimethylbutylacetate;Organic Chemicals, Biologically Active Substance;1;0
paeoniflorigenone;Organic Chemicals;1;0
duramycin B;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
1,2-dilinoleoyl-3-phosphatidylethanolamine;Lipid;1;0
1-palmitoyl-2-(16-doxystearoyl)phosphatidylcholine;Lipid, Biologically Active Substance;1;0
A21978C;Amino Acid, Peptide, or Protein;1;0
o-ethyldioleoylphosphatidylcholinium;Lipid, Biologically Active Substance;1;0
Glycerophosphoric acid;Lipid, Biologically Active Substance;1;0
IdB 1016;Lipid, Pharmacologic Substance;1;0
didocosahexaenoylphosphatidylcholine;Lipid, Biologically Active Substance;1;0
alpha-tocopheryl ferulate;Organic Chemicals, Vitamin;1;0
Undecaprenol kinase;Amino Acid, Peptide, or Protein, Enzyme;1;0
zervamicin IIB;Amino Acid, Peptide, or Protein;1;0
didecanoylphosphatidylcholine;Organic Chemicals;1;0
tribromoacetate;Organic Chemicals;1;0
dimethylammonium chloride;Organic Chemicals;1;0
nitrobenzoxadiazolyl-conjugated phosphatidylcholine;Organic Chemicals;1;0
colfosceril palmitate;Lipid, Pharmacologic Substance;1;0
Phosphatidylcholines;Lipid, Pharmacologic Substance, Biologically Active Substance;1;0
phosphonium phosphatidylcholine;Lipid;1;0
Factor VII antibody;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Dietary Phospholipid;Lipid;1;0
1-hydroxy-1-phenyl-2-propanone;Organic Chemicals, Biologically Active Substance;1;0
cholesteryl-6-pyrenylhexanoate;Steroid;1;0
phosphatidylpropanol;Lipid;1;0
1,2-diphytanoylphosphatidylcholine;Lipid;1;0
1-palmitoyl-2-((2-(4-(6-phenyl-1,3,4-hexatrienyl)phenyl)ethyl)carbonyl)-3-phosphatidylcholine;Lipid, Pharmacologic Substance;1;0
1-palmitoyl-2-(6-(N-(7-nitrobenz)-2-oxa-1,3-diazol-4-yl)aminocaproyl)phosphatidylcholine;Lipid, Pharmacologic Substance;1;0
1-stearoyl-2-linoleoylphosphatidylcholine;Lipid;1;0
2-(3-(diphenylhexatrienyl)propanoyl)-3-palmitoylphosphatidylcholine;Lipid, Pharmacologic Substance;1;0
cytolipin R;Lipid;1;0
1,2-hexanoylphosphatidylcholine;Lipid, Biologically Active Substance;1;0
LK 903;Lipid, Pharmacologic Substance;1;0
mercaptoundecahydrododecaborate;Pharmacologic Substance, Inorganic Chemical;1;0
apolipoprotein A-I Tangier;Amino Acid, Peptide, or Protein;1;0
N-(1-pyrenesulfonyl)dipalmitoyl-L-alpha-phosphatidylethanolamine;Lipid, Pharmacologic Substance;1;0
1-palmitoyl-2-(pyren-1-yl)hexanoyl-sn-glycero-3-phosphocholine;Lipid;1;0
glycerophosphorylcholine synthetase;Amino Acid, Peptide, or Protein, Enzyme;1;0
dilinoleoylphosphatidylglycerol;Lipid;1;0
glycerol 2-phosphoglycerol;Carbohydrate;1;0
pentalysine;Amino Acid, Peptide, or Protein;1;0
trioxilin B3;Eicosanoid;1;0
phosphatidyldimethylethanolamine;Lipid;1;0
phosphatidylsulfocholine;Lipid;1;0
Lecithin-Softgels;Lipid, Pharmacologic Substance;1;0
sucrose monostearate;Carbohydrate, Pharmacologic Substance;1;0
anantin;Amino Acid, Peptide, or Protein;1;0
Cyclic CMP;Nucleic Acid, Nucleoside, or Nucleotide;1;0
(7-methoxycoumarin-4-yl)-methyl-caged 8-bromoguanosine cyclic 3',5'-monophosphate;Nucleic Acid, Nucleoside, or Nucleotide;1;0
pexelizumab;Immunologic Factor;1;0
cGMP-dependent protein kinase 2;Amino Acid, Peptide, or Protein;1;0
cGMP-dependent protein kinase 2;Amino Acid, Peptide, or Protein;1;0
8-((4-chlorophenyl)thio)cyclic-3',5'-GMP;Nucleic Acid, Nucleoside, or Nucleotide;1;0
dimanganese decacarbonyl;Inorganic Chemical;1;0
1 beta-D-ribofuranosylbenzimidazole cyclic 3',5'-phosphate;Nucleic Acid, Nucleoside, or Nucleotide;1;0
A 71915;Amino Acid, Peptide, or Protein;1;0
NCX-911;Organic Chemicals;1;0
serinamide;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
guanosine 2',3'-cyclophosphorothioate;Nucleic Acid, Nucleoside, or Nucleotide;1;0
Active nitrogen;Element, Ion, or Isotope;1;0
8-nitroguanosine 3',5'-cyclic monophosphate;Nucleic Acid, Nucleoside, or Nucleotide;1;0
acid phosphatase II;Amino Acid, Peptide, or Protein, Enzyme;1;0
N(1)-biotinyl-N(8)-(cGMP-succinyl)-1,8-diamino-3,6-dioxaoctane;Organic Chemicals;1;0
Chelated calcium;Element, Ion, or Isotope;1;0
guanylin 16;Amino Acid, Peptide, or Protein;1;0
4,5-dimethoxy-2-nitrobenzyl-8-bromo-cGMP;Nucleic Acid, Nucleoside, or Nucleotide;1;0
2'-deoxy cyclic GMP;Nucleic Acid, Nucleoside, or Nucleotide;1;0
bis(3',5')-cyclic diguanylic acid;Nucleic Acid, Nucleoside, or Nucleotide;1;0
bursopoietin;Amino Acid, Peptide, or Protein;1;0
8-bromo-beta-phenylethenoguanosine 3',5'-cyclic monophosphate;Nucleic Acid, Nucleoside, or Nucleotide;1;0
guanosine-3',5'-cyclic phosphorothioate;Nucleic Acid, Nucleoside, or Nucleotide;1;0
mononitroglycerol;Organic Chemicals;1;0
2'-O-succinyl cyclic GMP;Nucleic Acid, Nucleoside, or Nucleotide;1;0
4,5-dimethoxy-2-nitrobenzyl cyclic GMP;Nucleic Acid, Nucleoside, or Nucleotide;1;0
carbocyclic guanosine monophosphate;Nucleic Acid, Nucleoside, or Nucleotide;1;0
8-(2-carboxymethylthio)-cGMP;Nucleic Acid, Nucleoside, or Nucleotide;1;0
N-palmitoylgalactosylsphingosine;Lipid;1;0
n-butyl 2'-dimethyl-tert-butylsilyl-N(2)-(N,N-dimethylamino)methylene-guanosine 3,',5'-cyclic phosphate;Nucleic Acid, Nucleoside, or Nucleotide;1;0
2'-dimethyl-tert-butylsilyl-N(2)-(N,N-dimethylamino)methylene-guanosine 3',5'-cyclic diethylphosphoramidate;Nucleic Acid, Nucleoside, or Nucleotide;1;0
KT 5822;Organic Chemicals;1;0
dipalmitoyl cyclic guanosinemonophosphate;Nucleic Acid, Nucleoside, or Nucleotide, Lipid;1;0
PD 144418;Organic Chemicals;1;0
resact;Amino Acid, Peptide, or Protein;1;0
deltoin;Organic Chemicals;1;0
(N-dithiocarboxysarcosine)iron(III);Organic Chemicals;1;0
GW 273629;Organic Chemicals;1;0
oregonin;Organic Chemicals;1;0
interleukin 1 alpha precursor;Amino Acid, Peptide, or Protein;1;0
P18 antimicrobial peptide;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
N-(6-bromo-7-hydroxycoumarin-4-yl)methoxycarbonyl-N-(3-(aminomethyl)benzyl)acetamide;Organic Chemicals;1;0
FR038251;Organic Chemicals;1;0
FR191863;Organic Chemicals;1;0
AR C102222AA;Organic Chemicals;1;0
SUN C8079;Organic Chemicals;1;0
arvelexin;Organic Chemicals;1;0
bolinaquinone;Organic Chemicals, Biologically Active Substance;1;0
FR260330;Organic Chemicals;1;0
acetoxime;Organic Chemicals;1;0
curvularin;Organic Chemicals;1;0
dCTP deaminase;Amino Acid, Peptide, or Protein, Enzyme;1;0
hirudonine;Organic Chemicals;1;0
AMINO ACIDS 6%;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
calcium hypophosphite;Pharmacologic Substance, Inorganic Chemical;1;0
Bardet-Biedl syndrome 12 protein;Amino Acid, Peptide, or Protein;1;0
Cocaine- and amphetamine-regulated transcript protein;Amino Acid, Peptide, or Protein;1;0
Centrosomal protein of 290 kDa;Amino Acid, Peptide, or Protein;1;0
WD repeat-containing and planar cell polarity effector protein fritz homolog;Amino Acid, Peptide, or Protein;1;0
Alpha-ketoglutarate-dependent dioxygenase FTO;Amino Acid, Peptide, or Protein;1;0
Alpha-ketoglutarate-dependent dioxygenase FTO;Amino Acid, Peptide, or Protein;1;0
Alpha-ketoglutarate-dependent dioxygenase FTO;Amino Acid, Peptide, or Protein;1;0
72 kDa inositol polyphosphate 5-phosphatase;Amino Acid, Peptide, or Protein;1;0
Kinesin-like protein KIF7;Amino Acid, Peptide, or Protein;1;0
Leptin receptor;Amino Acid, Peptide, or Protein;1;0
Leptin receptor;Amino Acid, Peptide, or Protein;1;0
Leptin receptor;Amino Acid, Peptide, or Protein;1;0
Meckel syndrome type 1 protein;Amino Acid, Peptide, or Protein;1;0
Meckelin;Amino Acid, Peptide, or Protein;1;0
Nuclear receptor subfamily 0 group B member 2;Amino Acid, Peptide, or Protein;1;0
Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+);Amino Acid, Peptide, or Protein;1;0
